Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
Food & Beverage,0.55,"{'cuisine': 34, 'organic': 21, 'ingredients': 26}",136
Retail,0.76,"{'discount': 36, 'loyalty programs': 25, 'pricing': 74}",54
Aerospace,0.36,"{'engineering': 49, 'rockets': 46, 'defense': 32}",157
Telecommunications,0.16,"{'data plans': 59, 'signal': 33, 'roaming': 30}",167
Pharmaceuticals,0.03,"{'drug development': 92, 'biotechnology': 99, 'clinical trials': 96}",132
Government,0.48,"{'laws': 38, 'legislation': 63, 'elections': 76}",89
Government,0.27,"{'legislation': 67, 'budget': 76, 'policy': 31}",99
E-commerce,0.43,"{'wishlist': 70, 'delivery': 74, 'customer support': 84}",58
E-commerce,0.85,"{'delivery': 98, 'inventory': 91, 'service': 27}",110
Retail,0.52,"{'availability': 86, 'customer service': 55, 'discount': 64}",153
Retail,0.39,"{'returns': 52, 'pricing': 77, 'promotions': 97}",174
Finance,0.7,"{'credit': 33, 'savings': 38, 'insurance': 82}",189
Energy,0.78,"{'sustainability': 28, 'carbon footprint': 83, 'oil': 72}",107
Pharmaceuticals,0.69,"{'medications': 60, 'drug development': 34, 'prescriptions': 68}",180
Entertainment,0.35,"{'awards': 76, 'subscriptions': 76, 'box office': 21}",159
Gaming,0.84,"{'mobile': 58, 'esports': 76, 'multiplayer': 49}",120
Healthcare,0.45,"{'access': 49, 'medications': 49, 'insurance': 78}",175
Automobile,0.02,"{'safety': 34, 'mileage': 74, 'warranty': 36}",57
Fashion,0.42,"{'accessories': 44, 'retail': 21, 'brands': 92}",167
Education,0.28,"{'interface': 94, 'curriculum': 53, 'students': 88}",56
Fashion,0.43,"{'brands': 51, 'seasons': 72, 'runway': 64}",77
Fashion,0.93,"{'streetwear': 88, 'designers': 75, 'brands': 49}",132
Government,0.45,"{'healthcare reform': 30, 'security': 94, 'budget': 34}",66
Gaming,0.98,"{'multiplayer': 65, 'graphics': 58, 'storyline': 80}",76
Telecommunications,0.58,"{'ISP': 58, '5G': 27, 'coverage': 38}",33
Hospitality,0.07,"{'restaurants': 89, 'budget': 90, 'hotels': 54}",43
Real Estate,0.67,"{'amenities': 80, 'property tax': 55, 'housing market': 56}",164
Security,0.26,"{'firewalls': 47, 'authentication': 56, 'hacking': 85}",119
Automobile,0.24,"{'design': 71, 'safety': 78, 'features': 41}",51
Government,0.93,"{'budget': 85, 'laws': 62, 'healthcare reform': 41}",137
Aerospace,0.35,"{'engineering': 98, 'NASA': 66, 'space travel': 43}",68
Telecommunications,0.19,"{'signal': 96, 'coverage': 24, 'data plans': 46}",64
E-commerce,0.31,"{'refund': 84, 'delivery': 85, 'discounts': 55}",105
Energy,0.18,"{'sustainability': 43, 'solar': 30, 'carbon footprint': 66}",100
Hospitality,0.26,"{'customer experience': 58, 'tourism': 20, 'travel': 71}",129
Automobile,0.96,"{'fuel efficiency': 83, 'design': 44, 'repairs': 24}",194
Gaming,0.68,"{'PC': 90, 'storyline': 54, 'updates': 79}",94
E-commerce,0.32,"{'discounts': 52, 'refund': 81, 'delivery': 80}",99
Gaming,0.21,"{'mobile': 89, 'graphics': 43, 'VR': 66}",183
Government,0.54,"{'laws': 61, 'elections': 91, 'public services': 38}",174
Finance,0.66,"{'investment': 21, 'banking': 76, 'insurance': 61}",118
Security,0.38,"{'data breaches': 77, 'encryption': 31, 'firewalls': 23}",118
Hospitality,0.75,"{'reservations': 35, 'luxury': 81, 'service': 57}",56
Education,0.16,"{'assessment': 22, 'exams': 38, 'teachers': 33}",78
Entertainment,0.19,"{'subscriptions': 29, 'video games': 46, 'awards': 51}",77
Healthcare,0.19,"{'insurance': 31, 'medications': 74, 'telehealth': 79}",37
Government,0.77,"{'healthcare reform': 82, 'security': 85, 'laws': 33}",34
Entertainment,0.76,"{'box office': 100, 'movies': 23, 'streaming': 77}",180
E-commerce,0.1,"{'tracking': 57, 'delivery': 33, 'wishlist': 81}",39
Energy,0.95,"{'power grid': 47, 'solar': 91, 'oil': 22}",135
Hospitality,0.02,"{'travel': 34, 'customer experience': 76, 'service': 84}",174
Entertainment,0.15,"{'box office': 87, 'music': 29, 'content quality': 99}",138
Food & Beverage,0.63,"{'cuisine': 41, 'organic': 37, 'recipes': 36}",73
Aerospace,0.64,"{'safety': 25, 'engineering': 84, 'defense': 85}",98
Healthcare,0.32,"{'access': 50, 'insurance': 92, 'patient care': 74}",156
E-commerce,0.12,"{'tracking': 73, 'refund': 62, 'service': 62}",193
Real Estate,0.78,"{'location': 91, 'property tax': 71, 'amenities': 88}",100
E-commerce,0.87,"{'checkout': 59, 'inventory': 20, 'discounts': 73}",152
Energy,0.57,"{'power grid': 54, 'renewable': 71, 'oil': 23}",163
Retail,0.81,"{'promotions': 62, 'stock': 40, 'availability': 85}",103
Fashion,0.79,"{'accessories': 90, 'fabric': 32, 'luxury': 46}",45
E-commerce,0.38,"{'refund': 92, 'delivery': 82, 'service': 49}",58
Security,0.15,"{'surveillance': 35, 'cyberattacks': 40, 'passwords': 53}",85
Telecommunications,0.04,"{'customer support': 20, 'ISP': 67, 'billing': 87}",75
Food & Beverage,0.18,"{'health': 40, 'cuisine': 70, 'ingredients': 29}",102
Automobile,0.7,"{'warranty': 42, 'insurance': 85, 'design': 24}",103
Hospitality,0.78,"{'reviews': 26, 'luxury': 25, 'budget': 46}",188
Technology,0.63,"{'software': 92, 'hardware': 72, 'update': 79}",156
Hospitality,0.52,"{'budget': 96, 'customer experience': 61, 'service': 36}",109
Security,0.18,"{'passwords': 26, 'biometrics': 98, 'malware': 30}",112
Retail,0.32,"{'discount': 28, 'loyalty programs': 39, 'stock': 70}",65
Aerospace,0.49,"{'NASA': 89, 'safety': 64, 'missions': 24}",116
Fashion,0.52,"{'streetwear': 73, 'brands': 74, 'fabric': 27}",120
Gaming,0.93,"{'graphics': 27, 'VR': 62, 'multiplayer': 24}",143
Finance,0.83,"{'taxes': 55, 'investment': 84, 'budgeting': 100}",66
Government,0.57,"{'taxation': 50, 'security': 60, 'public services': 45}",140
Entertainment,0.62,"{'concerts': 88, 'movies': 37, 'music': 84}",169
Real Estate,0.75,"{'property tax': 91, 'availability': 49, 'housing market': 86}",142
Gaming,0.24,"{'PC': 20, 'mobile': 72, 'console': 27}",62
Agriculture,1.0,"{'fertilizers': 25, 'irrigation': 48, 'crops': 40}",179
Education,0.49,"{'interface': 40, 'usability': 49, 'platform': 47}",33
Healthcare,0.78,"{'hospital': 35, 'wait times': 41, 'insurance': 77}",73
Automobile,0.17,"{'performance': 80, 'mileage': 48, 'fuel efficiency': 41}",154
Energy,0.55,"{'renewable': 48, 'solar': 61, 'wind': 71}",39
Energy,0.37,"{'carbon footprint': 74, 'power grid': 52, 'wind': 66}",163
Pharmaceuticals,0.13,"{'clinical trials': 94, 'prescriptions': 72, 'biotechnology': 25}",155
Aerospace,0.04,"{'fuel efficiency': 21, 'defense': 31, 'space travel': 25}",187
Telecommunications,0.2,"{'network': 77, 'customer support': 31, 'ISP': 41}",140
Retail,0.47,"{'availability': 40, 'sales': 94, 'returns': 92}",156
Retail,0.49,"{'loyalty programs': 62, 'discount': 79, 'returns': 36}",196
Security,0.58,"{'biometrics': 88, 'cyberattacks': 38, 'firewalls': 84}",55
Energy,0.54,"{'electricity': 69, 'wind': 93, 'gas': 27}",139
Automobile,0.75,"{'maintenance': 79, 'warranty': 47, 'design': 38}",41
Agriculture,0.72,"{'harvest': 81, 'livestock': 86, 'crops': 47}",97
Food & Beverage,0.36,"{'delivery': 26, 'health': 62, 'cuisine': 32}",121
Aerospace,0.89,"{'missions': 60, 'NASA': 36, 'defense': 60}",165
Fashion,0.39,"{'luxury': 41, 'accessories': 93, 'seasons': 25}",105
Security,0.2,"{'firewalls': 66, 'biometrics': 60, 'encryption': 63}",162
Pharmaceuticals,0.1,"{'clinical trials': 78, 'healthcare': 39, 'vaccines': 39}",138
Real Estate,0.36,"{'housing market': 92, 'investment': 98, 'property tax': 35}",79
Gaming,0.32,"{'PC': 90, 'graphics': 41, 'gameplay': 59}",131
E-commerce,0.99,"{'pricing': 46, 'discounts': 100, 'customer support': 42}",134
Fashion,0.89,"{'accessories': 44, 'runway': 72, 'brands': 59}",60
Aerospace,0.81,"{'defense': 94, 'satellites': 56, 'aviation': 25}",186
Technology,0.84,"{'cybersecurity': 65, 'speed': 58, 'AI': 29}",50
Retail,0.69,"{'pricing': 74, 'offers': 62, 'discount': 55}",86
Real Estate,0.51,"{'availability': 63, 'investment': 67, 'construction': 97}",141
Security,0.38,"{'encryption': 54, 'passwords': 43, 'hacking': 60}",104
Education,0.0,"{'assessment': 58, 'teachers': 43, 'usability': 85}",57
Fashion,0.88,"{'brands': 81, 'retail': 97, 'fabric': 35}",42
Entertainment,0.68,"{'music': 91, 'content quality': 49, 'awards': 50}",193
Food & Beverage,0.52,"{'restaurants': 78, 'gourmet': 85, 'delivery': 97}",63
Aerospace,0.72,"{'defense': 75, 'aviation': 20, 'missions': 59}",104
Telecommunications,0.06,"{'roaming': 89, 'coverage': 78, '5G': 29}",141
Government,0.58,"{'laws': 21, 'policy': 47, 'security': 69}",63
Automobile,0.62,"{'warranty': 44, 'repairs': 38, 'performance': 53}",61
Food & Beverage,0.39,"{'restaurants': 94, 'ingredients': 97, 'fast food': 61}",103
Pharmaceuticals,0.66,"{'vaccines': 37, 'prescriptions': 30, 'medications': 40}",176
E-commerce,0.6,"{'wishlist': 30, 'service': 58, 'checkout': 31}",79
Food & Beverage,0.42,"{'recipes': 93, 'organic': 56, 'restaurants': 73}",50
Hospitality,0.08,"{'hotels': 57, 'luxury': 85, 'restaurants': 89}",133
Healthcare,0.33,"{'hospital': 40, 'access': 46, 'insurance': 32}",162
Food & Beverage,0.02,"{'organic': 74, 'health': 78, 'fast food': 52}",117
Automobile,0.21,"{'mileage': 77, 'safety': 67, 'fuel efficiency': 68}",168
Fashion,0.72,"{'fabric': 71, 'runway': 58, 'accessories': 96}",108
E-commerce,0.5,"{'pricing': 21, 'customer support': 42, 'refund': 96}",132
Fashion,0.64,"{'brands': 27, 'trends': 49, 'accessories': 33}",86
Government,0.79,"{'healthcare reform': 56, 'laws': 56, 'elections': 70}",175
Healthcare,0.69,"{'hospital': 98, 'diagnosis': 48, 'patient care': 33}",171
E-commerce,0.63,"{'pricing': 95, 'customer support': 54, 'tracking': 75}",171
Healthcare,0.02,"{'telehealth': 86, 'patient care': 87, 'hospital': 22}",77
Retail,0.61,"{'discount': 97, 'loyalty programs': 39, 'sales': 25}",199
Energy,0.27,"{'sustainability': 73, 'renewable': 73, 'wind': 98}",153
Retail,0.03,"{'offers': 86, 'customer service': 23, 'returns': 98}",37
Telecommunications,0.73,"{'ISP': 79, 'coverage': 33, '5G': 75}",150
Education,0.28,"{'teachers': 87, 'students': 43, 'exams': 22}",129
Finance,0.72,"{'loan': 44, 'credit': 23, 'banking': 100}",173
Aerospace,0.03,"{'rockets': 29, 'engineering': 82, 'fuel efficiency': 26}",58
Energy,0.91,"{'electricity': 42, 'nuclear': 89, 'gas': 39}",136
Hospitality,0.98,"{'customer experience': 53, 'reviews': 21, 'reservations': 82}",184
Government,0.96,"{'regulations': 38, 'budget': 25, 'laws': 81}",88
E-commerce,0.34,"{'wishlist': 49, 'customer support': 100, 'inventory': 83}",147
Technology,0.65,"{'hardware': 45, 'speed': 92, 'bug': 35}",57
Automobile,0.53,"{'warranty': 77, 'insurance': 77, 'maintenance': 55}",77
Entertainment,0.01,"{'video games': 47, 'reviews': 72, 'content quality': 29}",152
Entertainment,0.48,"{'music': 90, 'box office': 33, 'content quality': 31}",38
Automobile,0.75,"{'safety': 46, 'performance': 83, 'insurance': 51}",195
Retail,0.68,"{'sales': 83, 'customer service': 55, 'returns': 100}",112
Finance,0.55,"{'debt': 51, 'interest': 81, 'banking': 98}",171
Automobile,0.88,"{'fuel efficiency': 43, 'performance': 66, 'repairs': 95}",108
Energy,0.31,"{'carbon footprint': 59, 'electricity': 41, 'sustainability': 98}",43
Security,0.19,"{'authentication': 85, 'surveillance': 32, 'firewalls': 51}",107
Technology,0.68,"{'AI': 80, 'update': 25, 'hardware': 91}",54
Technology,0.84,"{'hardware': 44, 'AI': 60, 'cybersecurity': 81}",149
Real Estate,0.2,"{'housing market': 71, 'mortgage': 95, 'investment': 72}",85
Government,0.9,"{'legislation': 99, 'laws': 74, 'taxation': 82}",169
Government,0.3,"{'public services': 53, 'laws': 50, 'security': 88}",160
Gaming,0.57,"{'graphics': 54, 'multiplayer': 100, 'storyline': 47}",142
Security,0.68,"{'data breaches': 85, 'authentication': 100, 'passwords': 65}",180
Government,0.78,"{'security': 33, 'laws': 75, 'healthcare reform': 52}",133
Education,0.25,"{'exams': 54, 'usability': 54, 'features': 24}",81
Telecommunications,0.73,"{'signal': 80, 'network': 61, 'data plans': 22}",70
Real Estate,0.9,"{'housing market': 66, 'amenities': 26, 'location': 34}",125
Government,0.21,"{'legislation': 81, 'laws': 99, 'regulations': 28}",41
Gaming,0.87,"{'graphics': 43, 'multiplayer': 62, 'gameplay': 55}",62
Technology,0.88,"{'hardware': 52, 'AI': 80, 'design': 92}",62
Energy,0.32,"{'carbon footprint': 76, 'electricity': 82, 'sustainability': 89}",100
Gaming,0.52,"{'esports': 20, 'graphics': 71, 'mobile': 73}",34
Entertainment,0.25,"{'video games': 94, 'awards': 49, 'box office': 59}",61
Food & Beverage,0.01,"{'gourmet': 91, 'ingredients': 32, 'recipes': 80}",123
Technology,0.09,"{'software': 34, 'AI': 20, 'cybersecurity': 97}",72
Fashion,0.87,"{'streetwear': 35, 'brands': 60, 'runway': 21}",58
Energy,0.47,"{'power grid': 70, 'carbon footprint': 98, 'sustainability': 95}",165
Energy,0.67,"{'power grid': 54, 'oil': 87, 'gas': 23}",64
Food & Beverage,0.55,"{'cuisine': 93, 'recipes': 83, 'sustainability': 79}",183
Food & Beverage,0.78,"{'recipes': 33, 'gourmet': 21, 'organic': 21}",141
Government,0.95,"{'legislation': 43, 'budget': 34, 'laws': 23}",181
Fashion,0.69,"{'fabric': 54, 'brands': 62, 'runway': 39}",153
Education,0.89,"{'interface': 93, 'usability': 23, 'learning': 79}",144
Healthcare,0.69,"{'patient care': 41, 'hospital': 35, 'wait times': 95}",100
Aerospace,0.3,"{'space travel': 46, 'safety': 73, 'NASA': 50}",52
Telecommunications,0.17,"{'5G': 84, 'network': 60, 'signal': 48}",54
Healthcare,0.88,"{'medications': 75, 'patient care': 91, 'wait times': 99}",171
Hospitality,0.82,"{'hotels': 48, 'restaurants': 87, 'budget': 69}",72
Technology,0.94,"{'performance': 77, 'update': 96, 'software': 33}",120
Retail,0.53,"{'discount': 85, 'availability': 24, 'sales': 87}",121
Energy,0.4,"{'renewable': 53, 'power grid': 43, 'carbon footprint': 89}",132
Real Estate,0.41,"{'property tax': 38, 'location': 35, 'housing market': 44}",99
Real Estate,0.43,"{'location': 87, 'investment': 42, 'rent': 96}",41
Agriculture,0.63,"{'soil quality': 34, 'sustainability': 40, 'harvest': 56}",192
Automobile,0.86,"{'fuel efficiency': 88, 'maintenance': 54, 'insurance': 25}",76
Healthcare,0.38,"{'challenges': 40, 'treatment': 52, 'patient care': 66}",108
Food & Beverage,0.29,"{'delivery': 45, 'cuisine': 100, 'organic': 77}",82
Finance,0.47,"{'credit': 32, 'insurance': 81, 'investment': 80}",36
Security,0.85,"{'cyberattacks': 27, 'passwords': 31, 'authentication': 94}",131
Energy,0.85,"{'renewable': 50, 'solar': 58, 'oil': 36}",199
Aerospace,0.6,"{'satellites': 33, 'NASA': 63, 'missions': 43}",103
Real Estate,0.39,"{'rent': 99, 'investment': 75, 'amenities': 43}",69
Technology,0.35,"{'cybersecurity': 45, 'cloud': 65, 'design': 99}",93
Technology,0.57,"{'AI': 54, 'cybersecurity': 89, 'bug': 40}",117
Healthcare,0.4,"{'wait times': 67, 'insurance': 65, 'hospital': 22}",80
Food & Beverage,0.6,"{'delivery': 69, 'cuisine': 71, 'ingredients': 70}",182
Hospitality,0.91,"{'budget': 56, 'restaurants': 29, 'luxury': 41}",128
Real Estate,0.28,"{'mortgage': 38, 'location': 67, 'rent': 94}",149
Healthcare,0.31,"{'diagnosis': 99, 'telehealth': 84, 'medications': 95}",84
Food & Beverage,0.13,"{'cuisine': 51, 'ingredients': 77, 'gourmet': 54}",92
Automobile,0.83,"{'performance': 52, 'fuel efficiency': 73, 'features': 69}",132
Real Estate,0.59,"{'construction': 50, 'amenities': 38, 'availability': 75}",41
Agriculture,0.84,"{'fertilizers': 41, 'harvest': 61, 'pesticides': 31}",32
Aerospace,0.88,"{'missions': 94, 'space travel': 69, 'fuel efficiency': 41}",132
Aerospace,0.49,"{'aviation': 53, 'space travel': 50, 'missions': 69}",123
Healthcare,0.46,"{'medications': 42, 'access': 41, 'insurance': 36}",40
Real Estate,0.35,"{'pricing': 49, 'property tax': 79, 'construction': 42}",47
Government,0.13,"{'taxation': 53, 'laws': 42, 'policy': 40}",142
Food & Beverage,0.77,"{'delivery': 52, 'fast food': 32, 'recipes': 53}",181
Energy,0.59,"{'electricity': 85, 'sustainability': 31, 'gas': 35}",169
Retail,0.69,"{'customer service': 39, 'loyalty programs': 40, 'offers': 73}",176
Security,0.83,"{'encryption': 34, 'firewalls': 48, 'hacking': 84}",31
Food & Beverage,0.04,"{'ingredients': 86, 'delivery': 36, 'restaurants': 33}",175
Gaming,0.94,"{'esports': 27, 'gameplay': 45, 'mobile': 43}",165
Hospitality,0.38,"{'reservations': 86, 'customer experience': 36, 'tourism': 80}",128
Retail,0.31,"{'sales': 79, 'loyalty programs': 39, 'pricing': 33}",95
Security,0.83,"{'malware': 26, 'hacking': 67, 'cyberattacks': 30}",49
Energy,0.89,"{'gas': 63, 'sustainability': 48, 'wind': 89}",86
Finance,0.08,"{'savings': 49, 'credit': 87, 'insurance': 62}",173
Fashion,0.26,"{'runway': 60, 'designers': 26, 'brands': 73}",127
E-commerce,0.9,"{'customer support': 66, 'inventory': 35, 'delivery': 35}",125
Government,0.91,"{'policy': 62, 'legislation': 40, 'healthcare reform': 90}",128
Agriculture,0.01,"{'irrigation': 87, 'crops': 32, 'livestock': 89}",111
Finance,0.66,"{'debt': 91, 'taxes': 97, 'credit': 55}",61
Pharmaceuticals,0.06,"{'FDA': 25, 'prescriptions': 72, 'medications': 60}",143
E-commerce,0.22,"{'delivery': 83, 'wishlist': 96, 'discounts': 80}",184
Agriculture,0.18,"{'soil quality': 61, 'sustainability': 62, 'farming': 52}",112
Government,0.32,"{'public services': 61, 'budget': 99, 'policy': 75}",180
Real Estate,0.34,"{'pricing': 52, 'construction': 32, 'mortgage': 34}",110
Automobile,0.36,"{'performance': 90, 'repairs': 90, 'safety': 78}",79
Aerospace,0.34,"{'safety': 24, 'rockets': 88, 'NASA': 89}",30
Agriculture,0.78,"{'sustainability': 26, 'weather': 91, 'livestock': 26}",147
Automobile,0.28,"{'safety': 65, 'performance': 25, 'design': 94}",164
Automobile,0.27,"{'safety': 100, 'mileage': 35, 'warranty': 60}",171
Gaming,0.04,"{'storyline': 96, 'graphics': 84, 'PC': 64}",37
Finance,0.09,"{'savings': 39, 'interest': 30, 'debt': 98}",193
Technology,0.66,"{'AI': 33, 'performance': 22, 'hardware': 41}",34
Entertainment,0.1,"{'streaming': 46, 'awards': 52, 'music': 75}",54
Gaming,0.71,"{'multiplayer': 42, 'esports': 48, 'graphics': 57}",193
Agriculture,0.36,"{'irrigation': 68, 'harvest': 80, 'fertilizers': 73}",70
Healthcare,0.47,"{'challenges': 53, 'hospital': 35, 'treatment': 78}",159
Finance,0.26,"{'budgeting': 46, 'taxes': 72, 'interest': 64}",173
Retail,0.21,"{'discount': 27, 'sales': 73, 'offers': 28}",37
Aerospace,0.68,"{'safety': 21, 'aviation': 78, 'defense': 28}",129
Food & Beverage,0.47,"{'ingredients': 98, 'organic': 47, 'health': 88}",60
Agriculture,0.61,"{'pesticides': 93, 'farming': 76, 'fertilizers': 30}",188
E-commerce,0.75,"{'delivery': 57, 'service': 82, 'refund': 61}",119
Entertainment,1.0,"{'reviews': 23, 'concerts': 93, 'content quality': 52}",184
Retail,0.95,"{'availability': 47, 'loyalty programs': 93, 'returns': 86}",99
Retail,0.71,"{'customer service': 78, 'stock': 27, 'offers': 65}",123
Healthcare,0.58,"{'challenges': 82, 'diagnosis': 41, 'medications': 48}",127
Healthcare,0.11,"{'treatment': 52, 'challenges': 60, 'wait times': 67}",32
Entertainment,0.59,"{'streaming': 87, 'reviews': 31, 'awards': 83}",132
Education,0.05,"{'assessment': 76, 'exams': 93, 'learning': 77}",99
Food & Beverage,0.03,"{'restaurants': 35, 'recipes': 35, 'fast food': 41}",103
Technology,0.63,"{'software': 59, 'design': 47, 'hardware': 36}",163
Education,0.16,"{'interface': 92, 'features': 49, 'platform': 96}",147
Hospitality,0.59,"{'service': 29, 'restaurants': 79, 'tourism': 52}",115
Healthcare,0.27,"{'diagnosis': 61, 'access': 53, 'challenges': 79}",37
Government,0.74,"{'public services': 32, 'security': 30, 'legislation': 82}",155
Healthcare,0.26,"{'wait times': 83, 'patient care': 72, 'access': 62}",135
Food & Beverage,0.03,"{'restaurants': 71, 'recipes': 36, 'organic': 65}",116
Pharmaceuticals,0.82,"{'research': 88, 'medications': 69, 'FDA': 99}",104
Retail,0.87,"{'discount': 98, 'returns': 69, 'stock': 67}",127
Security,0.47,"{'cyberattacks': 38, 'passwords': 99, 'malware': 84}",191
Government,0.35,"{'healthcare reform': 70, 'taxation': 72, 'policy': 42}",177
Aerospace,0.54,"{'safety': 81, 'satellites': 87, 'defense': 26}",170
Telecommunications,0.35,"{'data plans': 80, 'roaming': 74, 'ISP': 50}",125
Pharmaceuticals,0.97,"{'clinical trials': 26, 'research': 36, 'prescriptions': 62}",88
Security,0.43,"{'hacking': 51, 'data breaches': 70, 'encryption': 83}",123
Real Estate,0.89,"{'pricing': 96, 'housing market': 22, 'location': 41}",115
Entertainment,0.58,"{'music': 52, 'subscriptions': 81, 'concerts': 45}",92
Pharmaceuticals,0.25,"{'healthcare': 79, 'FDA': 36, 'prescriptions': 93}",44
Entertainment,0.57,"{'music': 68, 'video games': 38, 'streaming': 32}",145
Technology,0.54,"{'performance': 47, 'hardware': 65, 'cloud': 54}",104
Agriculture,0.39,"{'fertilizers': 30, 'irrigation': 93, 'pesticides': 52}",131
Real Estate,0.89,"{'amenities': 50, 'mortgage': 33, 'rent': 77}",52
Technology,0.48,"{'speed': 53, 'bug': 30, 'cloud': 91}",150
Hospitality,1.0,"{'budget': 67, 'tourism': 26, 'reservations': 60}",183
Finance,0.32,"{'investment': 37, 'budgeting': 23, 'savings': 74}",38
Aerospace,0.48,"{'space travel': 32, 'rockets': 36, 'fuel efficiency': 23}",115
Real Estate,0.43,"{'construction': 29, 'pricing': 79, 'rent': 23}",37
Real Estate,0.17,"{'mortgage': 37, 'property tax': 82, 'construction': 26}",93
Hospitality,0.7,"{'tourism': 70, 'luxury': 53, 'reservations': 97}",75
Retail,0.81,"{'returns': 85, 'customer service': 89, 'discount': 67}",66
Technology,0.49,"{'design': 47, 'software': 42, 'cloud': 21}",102
Food & Beverage,0.38,"{'organic': 35, 'fast food': 89, 'cuisine': 33}",135
Healthcare,0.41,"{'treatment': 53, 'insurance': 43, 'wait times': 53}",40
Automobile,0.25,"{'repairs': 99, 'design': 60, 'performance': 64}",60
Agriculture,0.29,"{'pesticides': 100, 'farming': 45, 'crops': 27}",173
Real Estate,0.72,"{'investment': 27, 'availability': 51, 'location': 88}",141
Healthcare,0.49,"{'diagnosis': 90, 'insurance': 94, 'telehealth': 31}",39
Retail,0.41,"{'sales': 51, 'discount': 56, 'promotions': 55}",164
Technology,0.96,"{'bug': 80, 'cybersecurity': 60, 'cloud': 44}",179
Automobile,0.82,"{'repairs': 32, 'mileage': 59, 'performance': 96}",123
Finance,0.02,"{'budgeting': 73, 'taxes': 81, 'investment': 59}",39
Automobile,0.4,"{'mileage': 71, 'design': 99, 'performance': 91}",55
E-commerce,0.82,"{'discounts': 100, 'pricing': 52, 'tracking': 51}",180
Education,0.54,"{'teachers': 53, 'students': 47, 'curriculum': 86}",124
Retail,0.13,"{'promotions': 87, 'offers': 56, 'pricing': 20}",199
Aerospace,0.98,"{'rockets': 68, 'defense': 53, 'missions': 51}",187
Fashion,0.58,"{'runway': 78, 'designers': 91, 'fabric': 65}",85
Telecommunications,0.1,"{'ISP': 25, 'customer support': 93, '5G': 68}",181
Telecommunications,0.88,"{'roaming': 68, 'data plans': 87, 'ISP': 29}",65
Healthcare,0.53,"{'telehealth': 88, 'challenges': 70, 'hospital': 34}",92
Aerospace,0.43,"{'engineering': 54, 'missions': 79, 'space travel': 56}",143
Agriculture,0.09,"{'soil quality': 52, 'weather': 93, 'pesticides': 84}",120
Automobile,0.3,"{'fuel efficiency': 20, 'mileage': 70, 'maintenance': 72}",196
Automobile,0.22,"{'performance': 55, 'insurance': 79, 'fuel efficiency': 60}",109
Gaming,0.87,"{'VR': 37, 'multiplayer': 20, 'graphics': 84}",187
Real Estate,0.9,"{'amenities': 36, 'pricing': 24, 'location': 90}",61
Healthcare,0.47,"{'challenges': 94, 'treatment': 44, 'wait times': 75}",149
Gaming,0.57,"{'console': 61, 'mobile': 85, 'updates': 34}",74
Finance,0.51,"{'banking': 43, 'budgeting': 80, 'savings': 43}",49
Fashion,0.18,"{'runway': 99, 'luxury': 39, 'accessories': 53}",191
Gaming,0.88,"{'VR': 89, 'graphics': 100, 'mobile': 82}",57
Fashion,0.38,"{'runway': 36, 'luxury': 56, 'seasons': 60}",43
Real Estate,0.8,"{'availability': 25, 'housing market': 75, 'amenities': 65}",189
Government,0.21,"{'legislation': 53, 'security': 91, 'policy': 89}",78
Retail,0.13,"{'offers': 30, 'availability': 22, 'stock': 81}",178
Gaming,0.23,"{'updates': 85, 'esports': 68, 'multiplayer': 59}",46
Healthcare,0.21,"{'hospital': 54, 'diagnosis': 74, 'challenges': 90}",57
Finance,0.33,"{'debt': 68, 'taxes': 91, 'interest': 59}",170
Automobile,0.33,"{'features': 40, 'design': 21, 'fuel efficiency': 23}",88
Finance,0.12,"{'interest': 29, 'credit': 49, 'savings': 55}",162
Healthcare,0.45,"{'telehealth': 66, 'access': 78, 'wait times': 27}",112
Hospitality,0.78,"{'customer experience': 65, 'service': 55, 'budget': 55}",106
Education,0.1,"{'assessment': 63, 'teachers': 89, 'platform': 48}",126
Gaming,0.43,"{'VR': 51, 'multiplayer': 44, 'storyline': 58}",41
Telecommunications,0.1,"{'5G': 75, 'customer support': 48, 'ISP': 51}",132
Gaming,0.48,"{'console': 52, 'PC': 22, 'graphics': 84}",127
Telecommunications,0.2,"{'infrastructure': 66, 'customer support': 89, 'data plans': 72}",102
Entertainment,0.6,"{'streaming': 33, 'concerts': 27, 'video games': 44}",128
Food & Beverage,0.02,"{'gourmet': 27, 'sustainability': 28, 'recipes': 75}",47
Automobile,0.62,"{'mileage': 82, 'features': 52, 'safety': 23}",167
Real Estate,0.19,"{'construction': 55, 'location': 97, 'mortgage': 22}",42
Aerospace,0.19,"{'engineering': 46, 'defense': 87, 'safety': 80}",53
Education,0.55,"{'assessment': 68, 'teachers': 39, 'interface': 21}",191
Education,0.57,"{'interface': 20, 'curriculum': 59, 'exams': 100}",194
Food & Beverage,0.7,"{'gourmet': 73, 'health': 63, 'ingredients': 38}",126
Fashion,0.53,"{'brands': 61, 'fabric': 72, 'runway': 54}",113
Agriculture,0.94,"{'harvest': 42, 'pesticides': 68, 'sustainability': 77}",198
Fashion,0.69,"{'streetwear': 53, 'accessories': 32, 'seasons': 28}",187
E-commerce,0.08,"{'wishlist': 72, 'refund': 28, 'service': 38}",104
Energy,0.83,"{'solar': 70, 'sustainability': 52, 'oil': 67}",33
